Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_04,6.204975,-0.852,,0,NORMAL
ESP_01,6.02618,-0.7256,,0,NORMAL
ESP_04,6.195972,-0.8457,,0,NORMAL
ESP_01,6.0617,-0.7507,,0,NORMAL
ESP_04,6.188195,-0.8402,,0,NORMAL
ESP_01,6.055305,-0.7462,,0,NORMAL
ESP_04,6.180624,-0.8348,,0,NORMAL
ESP_01,6.047138,-0.7404,,0,NORMAL
ESP_04,6.223495,-0.8651,,0,NORMAL
ESP_01,6.040152,-0.7355,,0,NORMAL
ESP_04,6.215105,-0.8592,,0,NORMAL
ESP_01,6.034249,-0.7313,,0,NORMAL
ESP_04,6.208761,-0.8547,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.199143,-0.8479,,0,NORMAL
ESP_01,6.061307,-0.7505,,0,NORMAL
ESP_04,6.189423,-0.841,,0,NORMAL
ESP_01,6.054911,-0.7459,,0,NORMAL
ESP_04,6.180521,-0.8348,,0,NORMAL
ESP_01,6.030706,-0.7288,,0,NORMAL
ESP_04,6.224723,-0.866,,0,NORMAL
ESP_01,6.037397,-0.7336,,0,NORMAL
ESP_04,6.217765,-0.8611,,0,NORMAL
ESP_01,6.032478,-0.7301,,0,NORMAL
ESP_04,6.208864,-0.8548,,0,NORMAL
ESP_01,6.027164,-0.7263,,0,NORMAL
ESP_04,6.200372,-0.8488,,0,NORMAL
ESP_01,6.026279,-0.7257,,0,NORMAL
ESP_04,6.190549,-0.8418,,0,NORMAL
ESP_01,6.025688,-0.7253,,0,NORMAL
ESP_04,6.180521,-0.8348,,0,NORMAL
ESP_01,6.051763,-0.7437,,0,NORMAL
ESP_04,6.229021,-0.869,,0,NORMAL
ESP_01,6.041727,-0.7366,,0,NORMAL
ESP_04,6.219709,-0.8625,,0,NORMAL
ESP_01,6.035036,-0.7319,,0,NORMAL
ESP_04,6.210092,-0.8557,,0,NORMAL
ESP_01,6.027754,-0.7267,,0,NORMAL
ESP_04,6.199757,-0.8484,,0,NORMAL
ESP_01,6.061602,-0.7507,,0,NORMAL
ESP_04,6.187888,-0.84,,0,NORMAL
ESP_01,6.05678,-0.7473,,0,NORMAL
ESP_04,6.180931,-0.835,,0,NORMAL
ESP_01,6.049795,-0.7423,,0,NORMAL
ESP_04,6.226463,-0.8672,,0,NORMAL
ESP_01,6.040841,-0.736,,0,NORMAL
ESP_04,6.220017,-0.8627,,0,NORMAL
ESP_01,6.036413,-0.7329,,0,NORMAL
ESP_04,6.208864,-0.8548,,0,NORMAL
ESP_01,6.029329,-0.7278,,0,NORMAL
ESP_04,6.200269,-0.8487,,0,NORMAL
ESP_01,6.064259,-0.7525,,0,NORMAL
ESP_04,6.194539,-0.8447,,0,NORMAL
ESP_01,6.058453,-0.7484,,0,NORMAL
ESP_04,6.183591,-0.8369,,0,NORMAL
ESP_01,6.049204,-0.7419,,0,NORMAL
ESP_04,6.228508,-0.8687,,0,NORMAL
ESP_01,6.042907,-0.7374,,0,NORMAL
ESP_04,6.218993,-0.862,,0,NORMAL
ESP_01,6.033756,-0.731,,0,NORMAL
ESP_04,6.210807,-0.8562,,0,NORMAL
ESP_01,6.027558,-0.7266,,0,NORMAL
ESP_04,6.202111,-0.85,,0,NORMAL
ESP_01,6.064751,-0.7529,,0,NORMAL
ESP_04,6.194846,-0.8449,,0,NORMAL
ESP_01,6.058945,-0.7488,,0,NORMAL
ESP_04,6.185331,-0.8382,,0,NORMAL
ESP_01,6.052943,-0.7445,,0,NORMAL
ESP_04,6.180521,-0.8348,,0,NORMAL
ESP_01,6.046449,-0.74,,0,NORMAL
ESP_04,6.219198,-0.8621,,0,NORMAL
ESP_01,6.03848,-0.7343,,0,NORMAL
ESP_04,6.215105,-0.8592,,0,NORMAL
ESP_01,6.031887,-0.7297,,0,NORMAL
ESP_04,6.204464,-0.8517,,0,NORMAL
ESP_01,6.06662,-0.7542,,0,NORMAL
ESP_04,6.195563,-0.8454,,0,NORMAL
ESP_01,6.044776,-0.7388,,0,NORMAL
ESP_04,6.187172,-0.8395,,0,NORMAL
ESP_01,6.027361,-0.7265,,0,NORMAL
ESP_04,6.182261,-0.836,,0,NORMAL
ESP_01,6.045465,-0.7393,,0,NORMAL
ESP_04,6.223188,-0.8649,,0,NORMAL
ESP_01,6.037791,-0.7338,,0,NORMAL
ESP_04,6.215105,-0.8592,,0,NORMAL
ESP_01,6.033067,-0.7305,,0,NORMAL
ESP_04,6.207022,-0.8535,,0,NORMAL
ESP_01,6.067801,-0.755,,0,NORMAL
ESP_04,6.19679,-0.8463,,0,NORMAL
ESP_01,6.061307,-0.7505,,0,NORMAL
ESP_04,6.188707,-0.8405,,0,NORMAL
ESP_01,6.055009,-0.746,,0,NORMAL
ESP_04,6.181442,-0.8354,,0,NORMAL
ESP_01,6.032674,-0.7302,,0,NORMAL
ESP_04,6.224928,-0.8662,,0,NORMAL
ESP_01,6.039365,-0.7349,,0,NORMAL
ESP_04,6.216231,-0.86,,0,NORMAL
ESP_01,6.031493,-0.7294,,0,NORMAL
ESP_04,6.207841,-0.8541,,0,NORMAL
ESP_01,6.026771,-0.726,,0,NORMAL
ESP_04,6.198734,-0.8476,,0,NORMAL
ESP_01,6.062291,-0.7512,,0,NORMAL
ESP_04,6.189731,-0.8413,,0,NORMAL
ESP_01,6.056682,-0.7472,,0,NORMAL
ESP_04,6.182056,-0.8358,,0,NORMAL
ESP_01,6.047334,-0.7406,,0,NORMAL
ESP_04,6.222063,-0.8641,,0,NORMAL
ESP_01,6.042907,-0.7374,,0,NORMAL
ESP_04,6.216947,-0.8605,,0,NORMAL
ESP_01,6.03474,-0.7317,,0,NORMAL
ESP_04,6.209477,-0.8552,,0,NORMAL
ESP_01,6.026869,-0.7261,,0,NORMAL
ESP_04,6.200575,-0.8489,,0,NORMAL
ESP_01,6.06357,-0.7521,,0,NORMAL
ESP_04,6.190446,-0.8418,,0,NORMAL
ESP_01,6.055207,-0.7461,,0,NORMAL
ESP_04,6.181237,-0.8353,,0,NORMAL
ESP_01,6.050385,-0.7427,,0,NORMAL
ESP_04,6.228919,-0.869,,0,NORMAL
ESP_01,6.040841,-0.736,,0,NORMAL
